REF_DATE,GEO,DGUID,VALUE
2021,Oliver (5907014) T,2021A00055907014,5
2021,Cowichan Valley C (5919049) RDA,2021A00055919049,5
2021,Portugal Cove-St. Philip's (1001504) T,2021A00051001504,5
2021,Corner Brook (1005018) CY,2021A00051005018,5
2021,Norway House 17 (4622058) IRI,2021A00054622058,5
2021,Brownsburg-Chatham (2476043) V,2021A00052476043,5
2021,Peace River (4819038) T,2021A00054819038,5
2021,Prévost (2475040) V,2021A00052475040,5
2021,Dolbeau-Mistassini (2492022) V,2021A00052492022,5
2021,Camrose (4810011) CY,2021A00054810011,5
2021,Terrace (5949011) CY,2021A00055949011,5
2021,Prince Rupert (5947012) CY,2021A00055947012,5
2021,Nelson (5903015) CY,2021A00055903015,5
2021,Notre-Dame-des-Prairies (2461030) V,2021A00052461030,5
2021,Columbia-Shuswap C (5939037) RDA,2021A00055939037,5
2021,Sainte-Brigitte-de-Laval (2422045) V,2021A00052422045,5
2021,Otterburn Park (2457030) V,2021A00052457030,5
2021,Whistler (5931020) DM,2021A00055931020,5
2021,Sooke (5917052) DM,2021A00055917052,5
2021,Pointe-Calumet (2472020) MÉ,2021A00052472020,5
2021,La Malbaie (2415013) V,2021A00052415013,5
2021,Chestermere (4806017) CY,2021A00054806017,5
2021,Lucan Biddulph (3539060) TP,2021A00053539060,5
2021,Hinton (4814019) T,2021A00054814019,5
2021,Amherstburg (3537028) T,2021A00053537028,5
2021,Sidney (5917010) T,2021A00055917010,5
2021,Dawson Creek (5955014) CY,2021A00055955014,5
2021,Pontiac (2482030) MÉ,2021A00052482030,5
2021,Lambton Shores (3538040) MU,2021A00053538040,5
2021,Creston (5903004) T,2021A00055903004,5
2021,Brighton (3514004) MU,2021A00053514004,5
2021,Wellington North (3523050) TP,2021A00053523050,5
2021,Mont-Laurier (2479088) V,2021A00052479088,5
2021,Mont-Joli (2409077) V,2021A00052409077,5
2021,Lake Country (5935016) DM,2021A00055935016,5
2021,Central Saanich (5917015) DM,2021A00055917015,5
2021,Sylvan Lake (4808012) T,2021A00054808012,5
2021,Lacombe (4808031) CY,2021A00054808031,5
2021,Kimberley (5901028) CY,2021A00055901028,5
2021,Strathroy-Caradoc (3539015) MU,2021A00053539015,5
2021,Gimli (4618031) RM,2021A00054618031,5
2021,Ladysmith (5919021) T,2021A00055919021,5
2021,Hanover (4602041) RM,2021A00054602041,5
2021,Powell River (5927008) CY,2021A00055927008,5
2021,Dolbeau-Mistassini (2492022) V,2021A00052492022,5
2021,Matane (2408053) V,2021A00052408053,5
2021,Wainwright (4807054) T,2021A00054807054,5
2021,Cornwall (1102085) T,2021A00051102085,5
2021,Drummond/North Elmsley (3509010) TP,2021A00053509010,5
2021,Drummond/North Elmsley (3509010) TP,2021A00053509010,5
2021,Dryden (3560027) CY,2021A00053560027,5
2021,North Stormont (3501042) TP,2021A00053501042,5
2021,King (3519049) TP,2021A00053519049,5
2021,Grimsby (3526065) T,2021A00053526065,5
2021,Swift Current (4708004) CY,2021A00054708004,5
2021,St. Paul County No. 19 (4812014) MD,2021A00054812014,5
2021,Petrolia (3538019) T,2021A00053538019,5
2021,Petrolia (3538019) T,2021A00053538019,5
2021,Oliver Paipoonge (3558011) MU,2021A00053558011,5
2021,Gaspé (2403005) V,2021A00052403005,5
2021,Cariboo A (5941019) RDA,2021A00055941019,5
2021,Chester (1206009) MD,2021A00051206009,5
2021,"Colchester, Subd. C (1210001) SC",2021A00051210001,5
2021,West Hants (1208003) RM,2021A00051208003,5
2021,Salmon Arm (5939032) CY,2021A00055939032,5
2021,Port Alberni (5923008) CY,2021A00055923008,5
2021,Drumheller (4805026) T,2021A00054805026,5
2021,Saint Marys (1310031) P,2021A00051310031,5
2021,Grand Falls / Grand-Sault (1312019) TV,2021A00051312019,5
2021,Grande Prairie County No. 1 (4819006) MD,2021A00054819006,5
2021,Brockton (3541032) MU,2021A00053541032,5
2021,Leeds and the Thousand Islands (3507021) TP,2021A00053507021,5
2021,"Antigonish, Subd. A (1214001) SC",2021A00051214001,5
2021,Yarmouth (1202004) MD,2021A00051202004,5
2021,Yarmouth (1202004) MD,2021A00051202004,5
2021,Southern Gulf Islands (5917029) RDA,2021A00055917029,5
2021,North Battleford (4716029) CY,2021A00054716029,5
2021,Whitecourt (4813030) T,2021A00054813030,5
2021,Rocky Mountain House (4809015) T,2021A00054809015,5
2021,Richelieu (2455057) V,2021A00052455057,5
2021,Gananoque (3507024) T,2021A00053507024,5
2021,Cochrane (3556042) T,2021A00053556042,5
